Value,Description
0,SWITCH_to_determine_how_POROSITY_is_provided_(0=calculated_internally_/_1=defined_here_as_values)
0.450928977,Defined_porosity_of_inshore_sediment_1_if_not_calculated_internally_(0=rock)
0.396844639,Defined_porosity_of_inshore_sediment_2_if_not_calculated_internally_(0=rock)
0.373099563,Defined_porosity_of_inshore_sediment_3_if_not_calculated_internally_(0=rock)
0.467052036,Defined_porosity_of_offshore_sediment_1_if_not_calculated_internally_(0=rock)
0.404780389,Defined_porosity_of_offshore_sediment_2_if_not_calculated_internally_(0=rock)
0.374673153,Defined_porosity_of_offshore_sediment_3_if_not_calculated_internally_(0=rock)
0,SWITCH_to_determine_how_PERMEABILITY_is_provided_(0=calculated_internally_/_1=defined_here_as_values)
1.33E-13,Defined_permeability_of_inshore_sediment_1_(m-2)_if_not_calculated_internally_(0=rock)
7.48E-11,Defined_permeability_of_inshore_sediment_2_(m-2)_if_not_calculated_internally_(0=rock)
2.02E-06,Defined_permeability_of_inshore_sediment_3_(m-2)_if_not_calculated_internally_(0=rock)
4.45E-14,Defined_permeability_of_offshore_sediment_1_(m-2)_if_not_calculated_internally_(0=rock)
4.22E-12,Defined_permeability_of_offshore_sediment_2_(m-2)_if_not_calculated_internally_(0=rock)
4.99E-08,Defined_permeability_of_offshore_sediment_3_(m-2)_if_not_calculated_internally_(0=rock)
0,SWITCH_to_determine_how_TOTAL_NITROGEN_is_provided_(0=calculated_internally_/_1=defined_here_as_values)
0.27,Defined_total_N%_of_inshore_sediment_1_(%DW)_if_not_calculated_internally_(0=rock)
0.027,Defined_total_N%_of_inshore_sediment_2_(%DW)_if_not_calculated_internally_(0=rock)
0,Defined_total_N%_of_inshore_sediment_3_(%DW)_if_not_calculated_internally_(0=rock)
0.27,Defined_total_N%_of_offshore_sediment_1_(%DW)_if_not_calculated_internally_(0=rock)
0.027,Defined_total_N%_of_offshore_sediment_2_(%DW)_if_not_calculated_internally_(0=rock)
0,Defined_total_N%_of_offshore_sediment_3_(%DW)_if_not_calculated_internally_(0=rock)
0,SWITCH_to_determine_how_sediment_LAYER_THICKNESSES_are_provided_(0=calculated_internally_(RECOMMENDED)_/_1=defined_here_as_values_(AT_YOUR_PERIL))
0.3,Inshore_sediment_1_layer_thickness_(m)_(BE_CAREFUL_can_trigger_very_short_timesteps)
0.3,Inshore_sediment_2_layer_thickness_(m)_(BE_CAREFUL_can_trigger_very_short_timesteps)
0.3,Inshore_sediment_3_layer_thickness_(m)_(BE_CAREFUL_can_trigger_very_short_timesteps)
0.1,Offshore_sediment_1_layer_thickness_(m)_(BE_CAREFUL_can_trigger_very_short_timesteps)
0.1,Offshore_sediment_2_layer_thickness_(m)_(BE_CAREFUL_can_trigger_very_short_timesteps)
0.1,Offshore_sediment_3_layer_thickness_(m)_(BE_CAREFUL_can_trigger_very_short_timesteps)
0.05,Penetration_depth_of_benthos_infauna_into_the_sediment (m)
0.01,Penetration_depth_of_natural_erosion_scour_into_the_sediment (m)
0.08596,Intercept_of_linear_relationship_between_y=light_attenuation_coefficient_(base_e)_and_x=SPM
0.00006729,Slope_of_linear_relationship_between_y=light_attenuation_coefficient_(base_e)_and_x=SPM
0.25,Proportion_of_inshore_depth_layer_occupied_by_phytoplankton_(set_a_value_</=_1.0)
0.25,Proportion_of_inshore_depth_layer_thickness_in_the_rock(kelp)_habitat_(set_a_value_</=_1.0)
